[Rodrigo Strauss] https://www.1bit.com.br  (post: hello_world)
[Como ser um programador] http://www.1bit.com.br/content.1bit/programador  (post: erros_esquisitos)
[Como ser um bom programador] http://www.1bit.com.br/content.1bit/bom_programador  (post: erros_esquisitos)
[MSDN Magazine] https://learn.microsoft.com/en-us/archive/msdn-magazine/2005/may/repel-attacks-with-visual-studio-2005-safe-c-and-c-libraries  (post: erros_esquisitos)
[The International Obfuscated C Code Contest] http://www.ioccc.org  (post: diferencas_entre_c_e_c++_precedencia)
[assuntos aleatorios] curiosidades_inuteis_o_operador_de_subscrito_em_c  (post: diferencas_entre_c_e_c++_precedencia)
[um ótimo artigo aqui no blog] o_bug_mais_bizarro_que_ja_resolvi  (post: about)
[pelo Code Project] https://www.codeproject.com/Articles/caloni  (post: about)
[resumo profissional] https://caloni.com.br/journal/2007-06.html#resume  (post: about)
[email] mailto:wanderley.caloni@gmail.com  (post: about)
[programador] https://github.com/Caloni  (post: about)
[CinemAqui] https://cinemaqui.com.br/author/wanderley-caloni/  (post: about)
[Git] https://github.com/Caloni  (post: resume)
[BitForge] https://www.linkedin.com/company/bit-forge/  (post: resume)
[Intelitrader] https://www.linkedin.com/company/intelitrader/  (post: resume)
[SCUA] https://www.linkedin.com/company/scua/  (post: resume)
[OpenCS] https://www.linkedin.com/company/open-communications-security/  (post: resume)
[IOCCC] http://www.ioccc.org/  (post: disassembling_the_array_operator)
[esse site] http://www.guidebookgallery.org/screenshots/firstrun  (post: historia_do_windows_parte_10)
[História do Windows] historia_do_windows  (post: historia_do_windows_parte_10)
[História do Windows] historia_do_windows  (post: historia_do_windows_parte_20)
[The International Obfuscated C Code Contest] http://www.ioccc.org  (post: precedence_difference)
[random subjects] disassembling_the_array_operator  (post: precedence_difference)
[realmente bons no que fazem] http://www.codebreakers-journal.com  (post: antidebug_interpretacao_baseada_em_excecao_parte_1)
[nesse artigo] historia_da_linguagem_c_parte_1  (post: c_cpp_operators_precedence_table)
[por um dos criadores da linguagem C] http://www.cs.bell-labs.com/who/dmr/chist.html  (post: c_cpp_operators_precedence_table)
[Márcio Andrey Oliveira] http://marcioandreyoliveira.blogspot.com  (post: c_cpp_operators_precedence_table)
[why a program compiles in C++ and not in C] precedence_difference  (post: c_cpp_operators_precedence_table)
[Wikipedia] http://en.wikipedia.org/wiki/Operators_in_C_and_C  (post: c_cpp_operators_precedence_table)
[CppPreference] http://www.cppreference.com/operator_precedence.html  (post: c_cpp_operators_precedence_table)
[o manual] https://archive.org/details/richards1979bcpl  (post: historia_da_linguagem_c_parte_1)
[sítio do Charles Petzold] http://www.charlespetzold.com  (post: historia_do_windows_parte_30)
[a versao eletrônica disponível para download] http://www.charlespetzold.com/books.html  (post: historia_do_windows_parte_30)
[da série] historia_do_windows  (post: historia_do_windows_parte_30)
[História do Windows] historia_do_windows  (post: historia_do_windows_parte_351)
[primeiro artigo] antidebug_interpretacao_baseada_em_excecao_parte_1  (post: antidebug_interpretacao_baseada_em_excecao_parte_2)
[o exemplo de GINA stub] http://driverentry.com.br/blog/?p=415  (post: gina_x_credential_provider)
[manual da linguagem] http://cm.bell-labs.co/who/dmr/kbman.html  (post: historia_da_linguagem_c_parte_2)
[Derneval Cunha] https://absoluta.org/barata/  (post: barata_eletrica)
[a série de artigos sobre o Windows] historia_do_windows  (post: historia_do_windows_parte_40)
[1999 september edition] http://bytepointer.com/resources/pietrek_debug_init_routines.htm  (post: why_is_my_dll_locked)
[dquadros] http://dqsoft.blogspot.com  (post: introducao_ao_c_builderturbo_c)
[num post] http://dqsoft.blogspot.com/2006/09/turbo-explorer.html  (post: introducao_ao_c_builderturbo_c)
[dquadros] http://dqsoft.blogspot.com  (post: you_need_to_know_english)
[ótimo artigo] https://www.codeproject.com/articles/Debugging-and-Building-Operating-Systems  (post: debug_da_bios_com_o_softice_16_bits)
[Gerenciamento de memória 386] https://dqsoft.blogspot.com/2006/10/gerenciamento-de-memria-386.html  (post: debug_da_bios_com_o_softice_16_bits)
[Ralf Brown's Interrupt List na Wikipedia] https://en.wikipedia.org/wiki/Ralf_Brown%27s_Interrupt_List  (post: debug_da_bios_com_o_softice_16_bits)
[História do Windows] historia_do_windows  (post: historia_do_windows_parte_50)
[excelente artigo de Matt Pietrek] http://msdn.microsoft.com/en-us/magazine/cc301805.aspx  (post: engenharia_reversa_para_principiantes)
[padrao da Microsoft] https://github.com/tpn/pdfs/blob/master/Microsoft%20Portable%20Executable%20and%20Common%20Object%20File%20Format%20Specification%20-%201999%20(pecoff).pdf  (post: engenharia_reversa_para_principiantes)
[palestra sobre engenharia reversa] https://github.com/Caloni/lectures/blob/master/engenhariareversaparaprincipiantes.pdf  (post: engenharia_reversa_para_principiantes)
[ediçao de setembro de 1999] http://bytepointer.com/resources/pietrek_debug_init_routines.htm  (post: por_que_minha_dll_travou)
[conceitos básicos de programaçao] guia_basico_para_programadores_de_primeiro_int_main  (post: guia_basico_para_programadores_de_primeiro_breakpoint)
[sizeof] what_happens_inside_the_sizeof_operator  (post: typeid_e_os_perigos_do_nao_polimorfismo)
[teste do Joel] https://www.joelonsoftware.com/2000/08/09/the-joel-test-12-steps-to-better-code/  (post: desenvolvendo_em_linha_de_comando)
[CodeBehind] http://codebehind.wordpress.com  (post: ponteiro_de_metodo_qual_this_e_usado)
[hook na funçao MessageBox] alterando_mensagem_de_erro_no_notepad  (post: detectando_hooks_globais_no_windbg)
[Thiago] http://www.codebehind.wordpress.com  (post: detectando_hooks_globais_no_windbg)
[Marcio Andrey] http://marcioandreyoliveira.blogspot.com/search/label/GMouseTool  (post: mousetool_english)
[GMouseTool] http://gmousetool.sourceforge.net  (post: mousetool_english)
[writing] why_is_my_dll_locked  (post: mousetool_english)
[some] c_cpp_operators_precedence_table  (post: mousetool_english)
[articles] what_happens_inside_the_sizeof_operator  (post: mousetool_english)
[in] disassembling_the_array_operator  (post: mousetool_english)
[English] precedence_difference  (post: mousetool_english)
[dquadros] http://dqsoft.blogspot.com  (post: mousetool_english)
[História do Windows] historia_do_windows  (post: historia_do_windows_parte_51)
[isso] http://kobyk.wordpress.com/2007/07/20/dynamically-linking-with-msvcrtdll-using-visual-c-2005/  (post: usando_a_libc_nativa_do_windows)
[RmThread] http://www.codeproject.com/threads/RmThread.asp  (post: carregando_dlls_arbitrarias_pelo_windbg)
[um artigo do Roberto Farah] https://docs.microsoft.com/en-us/archive/blogs/debuggingtoolbox/windbg-script-get-portable-executable-headers  (post: carregando_dlls_arbitrarias_pelo_windbg_parte_2)
[DriverEntry] http://www.driverentry.com.br  (post: carregando_dlls_arbitrarias_pelo_windbg_parte_2)
[artigo à parte] introducao_ao_c_builderturbo_c  (post: gerenciamento_de_janelas_em_c++_builder)
[já conhecemos] historia_do_windows_parte_30  (post: gerenciamento_de_janelas_em_c++_builder)
[faça uma busca] http://www.caloni.com.br/posts/?q=windbg  (post: gerenciamento_de_janelas_em_c++_builder)
[Caixa Econômica Federal] http://loterias.caixa.gov.br  (post: banco_de_dados_cpp_builder)
[expressoes regulares] http://guia-er.sourceforge.net  (post: banco_de_dados_cpp_builder)
[macros de ediçao] http://notepad-plus.sourceforge.net/uk/site.htm  (post: banco_de_dados_cpp_builder)
[complemento de dois] http://en.wikipedia.org/wiki/Twos_complement  (post: o_que_acontece_quando_o_contador_estoura)
[IOCCC] http://www.ioccc.org/  (post: curiosidades_inuteis_o_operador_de_subscrito_em_c)
[boi-corneta] http://www.google.com.br/search?q=boi+corneta+site%3Asualingua.com.br  (post: curiosidades_inuteis_o_operador_de_subscrito_em_c)
[ViniGodoy] http://vinigodoy.wordpress.com  (post: curiosidades_inuteis_o_operador_de_subscrito_em_c)
[esse artigo] http://cc.byexamples.com/20070528/swap-variable-quest/  (post: curiosidades_inuteis_o_operador_de_subscrito_em_c)
[bois-cornetas] http://www.google.com.br/search?q=boi+corneta+site%3Asualingua.com.br  (post: gambi_do_dia_swap_com_apenas_duas_variaveis)
[DQ] http://dqsoft.blogspot.com/search?q=resolu%C3%A7%C3%B5es+de+ano+novo  (post: como_ser_um_melhor_desenvolvedor_em_2008)
[Rodrigo Strauss] http://www.1bit.com.br  (post: como_ter_um_melhor_blogue)
